_H:	|batch	|epoch	|trial	$trial_name	$group_name	|phase_no	%minus_cycles	%sse	%ext_rew	%Hidden_act[2:0,0]<2:6,5>	%Hidden_act[2:1,0]	%Hidden_act[2:2,0]	%Hidden_act[2:3,0]	%Hidden_act[2:4,0]	%Hidden_act[2:5,0]	%Hidden_act[2:0,1]	%Hidden_act[2:1,1]	%Hidden_act[2:2,1]	%Hidden_act[2:3,1]	%Hidden_act[2:4,1]	%Hidden_act[2:5,1]	%Hidden_act[2:0,2]	%Hidden_act[2:1,2]	%Hidden_act[2:2,2]	%Hidden_act[2:3,2]	%Hidden_act[2:4,2]	%Hidden_act[2:5,2]	%Hidden_act[2:0,3]	%Hidden_act[2:1,3]	%Hidden_act[2:2,3]	%Hidden_act[2:3,3]	%Hidden_act[2:4,3]	%Hidden_act[2:5,3]	%Hidden_act[2:0,4]	%Hidden_act[2:1,4]	%Hidden_act[2:2,4]	%Hidden_act[2:3,4]	%Hidden_act[2:4,4]	%Hidden_act[2:5,4]	%Contex_act[2:0,0]<2:6,5>	%Contex_act[2:1,0]	%Contex_act[2:2,0]	%Contex_act[2:3,0]	%Contex_act[2:4,0]	%Contex_act[2:5,0]	%Contex_act[2:0,1]	%Contex_act[2:1,1]	%Contex_act[2:2,1]	%Contex_act[2:3,1]	%Contex_act[2:4,1]	%Contex_act[2:5,1]	%Contex_act[2:0,2]	%Contex_act[2:1,2]	%Contex_act[2:2,2]	%Contex_act[2:3,2]	%Contex_act[2:4,2]	%Contex_act[2:5,2]	%Contex_act[2:0,3]	%Contex_act[2:1,3]	%Contex_act[2:2,3]	%Contex_act[2:3,3]	%Contex_act[2:4,3]	%Contex_act[2:5,3]	%Contex_act[2:0,4]	%Contex_act[2:1,4]	%Contex_act[2:2,4]	%Contex_act[2:3,4]	%Contex_act[2:4,4]	%Contex_act[2:5,4]
_D:	0	0	0	"B->T_0->1"	"Seq_0"	1	28	1.42528	0	0	0	0	0	0.764187	0.83522	0	0.832314	2.53018e-06	0	0	0	0.579554	0.515315	0	0.833747	0	0	5.8456e-07	0	0	0	0	0.851156	0.859364	0	0	0.0306524	0.674368	0.677743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
_D:	0	0	1	"T->X_1->3"	"Seq_0"	1	24	1.60282	0	0.736718	0	0	0.851991	0	0.835409	0	0	0	0.60254	0.784076	0	0.0382286	0.0279725	0.0875023	0.673297	0.716554	0	0.832113	0	0.571447	0.815363	0.785721	0	1.32214e-05	0.819145	3.50732e-05	0	0	0	0	0	0	0	0.764187	0.83522	0	0.832314	2.53018e-06	0	0	0	0.579554	0.515315	0	0.833747	0	0	5.8456e-07	0	0	0	0	0.851156	0.859364	0	0	0.0306524	0.674368	0.677743
_D:	0	0	2	"X->S_3->5"	"Seq_0"	1	24	0.486077	0	0.396794	0	0	0.79673	0.892851	0.805801	0	9.9096e-07	0	0.829843	0	0	0	1.613e-07	0	0.00491029	0.711172	0.000394785	0.812427	0	0	0	0	0.759438	0	0	0.8896	0	0.00644743	0.0691475	0.736718	0	0	0.851991	0.0764187	0.918931	0	0.0832314	2.53018e-07	0.60254	0.784076	0	0.096184	0.079504	0.0875023	0.756672	0.716554	0	0.832113	0	0.571447	0.815363	0.785721	0.0851156	0.0859497	0.819145	3.50732e-05	0.00306524	0.0674368	0.0677743
_D:	0	0	3	"S->E_5->0"	"Seq_0"	1	25	1.69651	0	0.0788312	0.808688	0	0	0	0.838719	0.90895	0	0.73609	0.103166	8.20365e-05	0	0.44035	1.25338e-06	0.705076	0	0	0.00515667	0	0.00773796	0.889098	0.358576	0	0	0	0	0	0.000230961	0	0.834168	0.470466	0	0	0.881929	0.900493	0.897694	0	0.00832413	2.53018e-08	0.890097	0.0784076	0	0.0096184	0.00795056	0.00875023	0.0805775	0.782828	0.000394785	0.895638	0	0.0571447	0.0815363	0.0785721	0.767949	0.00859497	0.0819145	0.889604	0.000306524	0.0131911	0.0759249
_D:	0	0	4	"B->P_0->2"	"Seq_1"	1	24	1.54505	0	0	0.00667061	0	0	0.813481	0.502894	0	0.847175	0	0.75591	0	0.0710993	0.0305591	0.842234	0	0.793264	0.0141989	0.0370003	0.000156915	0	0	0	0	0.801705	0.562708	0	0	0.013759	0.3556	0.82014	0.125878	0.808688	0	0.0881929	0.0900493	0.928488	0.90895	0.000832413	0.73609	0.192176	0.00792279	0	0.441312	0.000796309	0.705951	0.00805775	0.0782828	0.00519615	0.0895638	0.00773796	0.894812	0.366729	0.00785721	0.0767949	0.000859497	0.00819145	0.0889604	0.000261614	0.00131911	0.841761
_D:	0	0	5	"P->V_2->4"	"Seq_1"	1	27	0	0	0.776837	1.93323e-06	0.000182292	0	0	0.857809	0.866071	0.00344623	0	0.00102797	0	0	0	0	0.561302	0.0123448	0.844988	1.58267e-05	0.879011	0.000591978	0.681716	0	0	0.0168064	0	0	0	0.0228494	0	0	0.0125878	0.0875394	0	0.00881929	0.822486	0.595743	0.090895	0.847259	0.073609	0.775127	0.000792279	0.0710993	0.0746903	0.842313	0.0705951	0.794069	0.0220272	0.0375199	0.0091133	0.000773796	0.0894812	0.0366729	0.000785721	0.809385	0.562794	0.000819145	0.00889604	0.0137852	0.355731	0.904316
_D:	0	0	6	"V->P_4->3"	"Seq_1"	1	26	1.45105	0	0.808961	0.0186518	0.0195423	0	0	0.772824	0.0390644	0	0.0100782	0	0	0	0	0.00694012	0	0.59732	0.78386	0.496635	0.876402	0.279004	0	0	0.00061475	0	0.000482416	0	0.857262	0	0.00639156	0.766366	0.778096	0.00875588	0.000182292	0.000881929	0.0822486	0.917384	0.875161	0.0881721	0.0073609	0.0785407	7.92279e-05	0.00710993	0.00746903	0.0842313	0.568361	0.0917517	0.84719	0.00376782	0.879922	0.000669357	0.690664	0.00366729	7.85721e-05	0.0977449	0.0562794	8.19145e-05	0.000889604	0.0242279	0.0355732	0.0904316
_D:	0	0	7	"P->X_3->2"	"Seq_1"	1	27	1.2332	0	0.731018	1.18581e-06	0	0	0	0.877185	0.894765	0.000440759	0	0	0	0	0	0	0.766426	0	0.798252	0.000474052	0.833512	0.124041	0.831726	0	0	0.000727748	0	0.00714312	0	0.017559	0.00175688	0	0.886771	0.0195274	0.0195605	8.81929e-05	0.00822486	0.864562	0.12658	0.00881721	0.0108143	0.00785407	7.92279e-06	0.000710993	0.000746903	0.0153633	0.0568361	0.606495	0.868579	0.497012	0.95	0.279071	0.0690664	0.000366729	0.000622608	0.00977449	0.00611036	8.19145e-06	0.857351	0.00242279	0.00994888	0.775409
_D:	0	0	8	"X->V_2->4"	"Seq_1"	1	25	0.556535	0	0.791127	0.000783001	0	0.736498	0.856562	0.704249	0	0	0	0.832855	0	0	0	0	0	0.433662	0.722696	0.70464	0.883959	0	0	0	0	0.424332	0	0	0.865701	0	0	0.687861	0.819695	0.00195393	0.00195605	8.81929e-06	0.000822486	0.95	0.907423	0.00132248	0.00108143	0.000785407	7.92279e-07	7.10993e-05	7.46903e-05	0.00153633	0.77211	0.0606495	0.88511	0.0501752	0.928512	0.151948	0.838633	3.66729e-05	6.22608e-05	0.0017052	0.000611036	0.00714394	0.0857351	0.0178013	0.00275177	0.0775409
_D:	0	0	9	"V->V_4->5"	"Seq_1"	1	25	0	0	0.761172	0.000146032	0.00166015	0	0	0.873416	0.754917	0	1.30787e-05	0	0	0	0	0.000164846	0	0.315278	0.829544	0.00224013	0.815829	0.0988225	0	0	0.588878	0	0.000397636	0	0.889731	0	0.114939	0.574122	0.873097	0.000978394	0.000195605	0.736499	0.856645	0.799249	0.0907423	0.000132248	0.000108143	0.832933	7.92279e-08	7.10993e-06	7.46903e-06	0.000153633	0.077211	0.439727	0.811207	0.709658	0.95	0.0151948	0.0838633	3.66729e-06	6.22608e-06	0.424502	6.11036e-05	0.000714394	0.874274	0.00178013	0.000275177	0.695615
