_H:	|batch	|epoch	|trial	$trial_name	$group_name	|phase_no	%minus_cycles	%sse	%ext_rew	%Hidden_act[2:0,0]<2:6,5>	%Hidden_act[2:1,0]	%Hidden_act[2:2,0]	%Hidden_act[2:3,0]	%Hidden_act[2:4,0]	%Hidden_act[2:5,0]	%Hidden_act[2:0,1]	%Hidden_act[2:1,1]	%Hidden_act[2:2,1]	%Hidden_act[2:3,1]	%Hidden_act[2:4,1]	%Hidden_act[2:5,1]	%Hidden_act[2:0,2]	%Hidden_act[2:1,2]	%Hidden_act[2:2,2]	%Hidden_act[2:3,2]	%Hidden_act[2:4,2]	%Hidden_act[2:5,2]	%Hidden_act[2:0,3]	%Hidden_act[2:1,3]	%Hidden_act[2:2,3]	%Hidden_act[2:3,3]	%Hidden_act[2:4,3]	%Hidden_act[2:5,3]	%Hidden_act[2:0,4]	%Hidden_act[2:1,4]	%Hidden_act[2:2,4]	%Hidden_act[2:3,4]	%Hidden_act[2:4,4]	%Hidden_act[2:5,4]	%Contex_act[2:0,0]<2:6,5>	%Contex_act[2:1,0]	%Contex_act[2:2,0]	%Contex_act[2:3,0]	%Contex_act[2:4,0]	%Contex_act[2:5,0]	%Contex_act[2:0,1]	%Contex_act[2:1,1]	%Contex_act[2:2,1]	%Contex_act[2:3,1]	%Contex_act[2:4,1]	%Contex_act[2:5,1]	%Contex_act[2:0,2]	%Contex_act[2:1,2]	%Contex_act[2:2,2]	%Contex_act[2:3,2]	%Contex_act[2:4,2]	%Contex_act[2:5,2]	%Contex_act[2:0,3]	%Contex_act[2:1,3]	%Contex_act[2:2,3]	%Contex_act[2:3,3]	%Contex_act[2:4,3]	%Contex_act[2:5,3]	%Contex_act[2:0,4]	%Contex_act[2:1,4]	%Contex_act[2:2,4]	%Contex_act[2:3,4]	%Contex_act[2:4,4]	%Contex_act[2:5,4]
_D:	0	199	0	"B->T_0->1"	"Seq_0"	2	30	0.351838	0	3.22097e-07	0	8.06254e-05	0.0021429	0	0.808911	0.789478	0	0.631791	0.595204	0	0	0.394991	0.907975	0	0	0	0.283259	0	0	0.336053	0	0	8.9206e-07	4.12568e-06	0.0211402	0.902362	0.0159222	0	0.536403	0.0873247	0.886162	0.363659	2.88947e-06	5.32571e-05	0.000835703	0.063304	0.041383	0.865681	0.000600125	0.720562	0.0954645	0.000277153	0.0658279	1.17941e-11	0.100552	0.00530073	0.000219919	0.00193094	0.856276	0.014473	0.0888266	5.84583e-14	0.00917926	0.00981156	0.000215185	0.873028	0.0508235	0.0861665	0.000553913
_D:	0	199	1	"T->S_1->1"	"Seq_0"	2	38	0.500999	0	0.909083	0.840836	0	0	0.0041437	0.00206569	0	0	0	0	0.528641	0	0	0.869134	0	0.00103921	0.576597	0	1.20099e-05	0.00410232	0.0096634	0	0	0.919766	0	0.012412	0.00691107	0	0	0	0.00873279	0.0886162	0.0364465	0.00214319	5.32571e-06	0.808994	0.795809	0.0041383	0.718359	0.595264	0.0720562	0.00954645	0.395019	0.914558	1.17941e-12	0.0100552	0.000530073	0.283281	0.000193094	0.0856276	0.337501	0.00888266	5.84583e-15	0.000918818	0.000985282	0.0211617	0.95	0.0210045	0.00861665	0.536458
_D:	0	199	2	"S->X_1->3"	"Seq_0"	2	34	0.35683	0	0.000273564	0.823767	0.372519	0	0	9.21421e-06	0.0625622	0.0421619	0.887373	0	0.0204383	7.11147e-06	0	0.000121827	0	0.000803804	0	0	1.72263e-05	0.757842	0.0348482	0.0484969	0	0	0.0340118	0	0.908548	0	0.0229886	0	0.909956	0.849698	0.00364465	0.000214319	0.00414424	0.0829651	0.0795809	0.00041383	0.0718359	0.0595264	0.535846	0.000954645	0.0395019	0.95	1.17942e-13	0.00204473	0.57665	0.0283281	3.13194e-05	0.0126651	0.0434135	0.000888266	5.84583e-16	0.919858	9.85282e-05	0.0145282	0.101911	0.00210045	0.000861665	0.0536458
_D:	0	199	3	"X->S_3->5"	"Seq_0"	2	52	0.329497	0	0.826005	0	0.891095	0	0	0	0.358301	0.0577636	0.00446981	0	0.000405073	0.104941	0	0	0	0.90861	0	0	0	0.302853	0	1.80117e-05	0	0	0.00710337	0	0	0	0.870782	0	0.0912692	0.908737	0.372883	2.14319e-05	0.000414424	0.00830573	0.0705203	0.0422033	0.894556	0.00595264	0.074023	0.000102576	0.00395019	0.0951218	1.17942e-14	0.00100828	0.057665	0.00283281	2.03582e-05	0.759108	0.0391896	0.0485857	5.84583e-17	0.0919858	0.0340217	0.00145282	0.918739	0.000210045	0.0230747	0.00536458
_D:	0	199	4	"S->E_5->0"	"Seq_0"	2	30	0	0	0	0.879219	0.0163961	0	0	0	1.15346e-05	0.00339623	0.847582	0	0.780659	0.00695948	0	0.00582558	0	0.0123038	0	0	3.8803e-05	0.80769	0.0156117	0.00752885	0	0	0	0	0.875148	0.0104231	0.0145241	4.14874e-06	0.835132	0.0908737	0.928383	2.14319e-06	4.14424e-05	0.000830573	0.365353	0.0619839	0.0939254	0.000595264	0.00780737	0.104951	0.000395019	0.00951218	1.17942e-15	0.908711	0.0057665	0.000283281	2.03582e-06	0.378763	0.00391896	0.00487658	5.84583e-18	0.00919858	0.0105055	0.000145282	0.091874	2.10045e-05	0.873089	0.000536459
_D:	0	199	5	"B->T_0->1"	"Seq_1"	2	31	0.301235	0	7.54532e-07	0	2.17254e-05	0.00296336	0	0.81619	0.793422	0	0.59672	0.600182	0	0	0.27603	0.905449	0	0	0	0.222139	0	0	0.266457	0	0	6.77353e-06	3.58011e-06	0.0501006	0.902212	0.00785444	0	0.552818	0.0835132	0.888307	0.109234	2.14319e-07	4.14424e-06	8.30573e-05	0.0365469	0.00959463	0.856975	5.95264e-05	0.78144	0.0174546	3.95019e-05	0.0067768	1.17942e-16	0.103175	0.00057665	2.83281e-05	3.90066e-05	0.845567	0.0160036	0.00801651	5.84583e-19	0.000919858	0.00105055	1.45282e-05	0.884336	0.0104252	0.101833	5.77946e-05
_D:	0	199	6	"T->X_1->3"	"Seq_1"	2	37	0.28804	0	0.908619	0.842865	0	0	0.00531875	0.0015931	0	0	0	0	0.541355	0	0	0.869323	0	0.000641508	0.530061	0	3.16325e-06	0.00330381	0.0142026	0	0	0.917913	0	0.0165198	0.0102184	0	0	0	0.00835208	0.0888307	0.0109452	0.00296338	4.14424e-07	0.816198	0.797077	0.000959463	0.682417	0.600188	0.078144	0.00174546	0.276034	0.906126	1.17941e-17	0.0103175	5.7665e-05	0.222142	3.90066e-06	0.0845567	0.268057	0.000801651	5.84583e-20	9.87594e-05	0.000108636	0.0501021	0.95	0.00889696	0.0101833	0.552823
_D:	0	199	7	"X->S_3->5"	"Seq_1"	2	41	0.267569	0	0.78227	0	0.888945	0	0	3.7352e-05	0.625071	0.410286	0.409978	0	0	0.768439	0	0	0	0.904828	0	0	0.016719	0.0219178	0	0.0319121	0	0	0.0982647	0	0	0	0.756456	0	0.909454	0.851748	0.00109452	0.000296338	0.00531879	0.0832129	0.0797077	9.59463e-05	0.0682417	0.0600188	0.54917	0.000174546	0.0276034	0.95	1.17942e-18	0.00167326	0.530067	0.0222142	3.55331e-06	0.0117595	0.0410083	8.01651e-05	5.84583e-21	0.917923	1.08636e-05	0.02153	0.105218	0.000889696	0.00101833	0.0552824
_D:	0	199	8	"S->E_5->0"	"Seq_1"	2	30	0.26563	0	0	0.877639	0.274654	0	0	0	5.49048e-07	0.00032717	0.824	0	0.715062	0.0186342	0	0.0562886	0	0.0100578	0	0	0.000263352	0.853959	0.0140646	0.0856111	0	0	0	0	0.871981	0.0508307	0.0105132	2.07777e-07	0.873215	0.0851748	0.889055	2.96338e-05	0.000531879	0.00835864	0.633042	0.410296	0.416802	0.00600188	0.054917	0.768457	0.00276034	0.095	1.17942e-19	0.904995	0.0530067	0.00222142	0.0167193	0.0230937	0.00410083	0.0319201	5.84583e-22	0.0917923	0.0982658	0.002153	0.0105218	8.89696e-05	0.756558	0.00552824
_D:	0	199	9	"B->T_0->1"	"Seq_2"	2	31	0.334229	0	3.22861e-07	0	8.06283e-05	0.00214378	0	0.808913	0.789482	0	0.631788	0.595184	0	0	0.394875	0.907974	0	0	0	0.283151	0	0	0.33596	0	0	8.92488e-07	4.12635e-06	0.0211485	0.902362	0.0159204	0	0.536379	0.0873215	0.886157	0.36356	2.96338e-06	5.31879e-05	0.000835864	0.0633047	0.0413568	0.86568	0.000600188	0.720554	0.0954798	0.000276034	0.0657886	1.17942e-20	0.100557	0.00530067	0.000222142	0.00193529	0.856268	0.0144747	0.0888031	5.84583e-23	0.00917923	0.00982658	0.0002153	0.873034	0.0508396	0.086169	0.000553031
